epoch,loss
1,1.8289108616965157
2,1.8879102979387556
3,1.747983694076538
4,1.7666168212890625
5,1.6450448376791817
6,1.671345557485308
7,1.6470629147120885
8,1.6588214124952043
9,1.5993381568363734
10,1.673749463898795
11,1.6160081624984741
12,1.6684561967849731
13,1.637784378869193
14,1.636140159198216
15,1.6864750385284424
16,1.5959394999912806
17,1.6035505362919398
18,1.6030580486570085
19,1.6251255784715926
20,1.650415369442531
21,1.600891351699829
22,1.6162668466567993
23,1.6128626380647932
24,1.5725565126964025
25,1.5740858827318465
26,1.6290833950042725
27,1.6259431328092302
28,1.5845732178006853
29,1.6094917058944702
30,1.61518360887255
31,1.5830329486301966
32,1.5608835050037928
33,1.590585470199585
34,1.559077365057809
35,1.5926635776247298
36,1.6157987458365304
37,1.6033848694392614
38,1.6476183789116996
39,1.5456051145281111
40,1.5876320600509644
41,1.5417579923357283
42,1.5826863391058785
43,1.6349398919514246
44,1.5818887097494942
45,1.5795665979385376
46,1.5601101773125785
47,1.5521177223750524
48,1.540931957108634
49,1.5925762483051844
50,1.5473533357892717
51,1.5944643361227853
52,1.5970014333724976
53,1.587864875793457
54,1.598346199308123
55,1.5862010376793998
56,1.5638584750039237
57,1.633094004222325
58,1.5205630915505546
59,1.5377731493541174
60,1.5781187159674508
61,1.5330916472843714
62,1.560069169316973
63,1.565341523715428
64,1.56075154032026
65,1.4986482858657837
66,1.512907726424081
67,1.5704819985798426
68,1.5419098820005144
69,1.5463462727410453
70,1.5461247307913644
71,1.535549419266837
72,1.5577105624335152
73,1.5325770378112793
74,1.5671486513955253
75,1.5742651905332292
76,1.5771664551326208
77,1.5202275684901647
78,1.5821809598377772
79,1.5622048888887679
80,1.5767885787146432
81,1.5479000636509486
82,1.5710443769182478
83,1.5724026135035925
84,1.5363085780824934
85,1.5400750977652413
86,1.5319216081074305
87,1.5486564125333513
88,1.5546308415276664
89,1.5487882920673914
90,1.5963956798825945
91,1.5041920287268502
92,1.5159978355680193
93,1.5775689567838396
94,1.5696886948176794
95,1.6230578422546387
96,1.534857256071908
97,1.5278388261795044
98,1.5261001757213049
99,1.5071515526090349
100,1.5967378446034022
101,1.5022156068256922
102,1.5302938733782088
103,1.557584285736084
104,1.546337468283517
105,1.5336592878614153
106,1.5537085022245134
107,1.5747501679829188
108,1.5264660460608346
109,1.5085845163890295
110,1.5095793008804321
111,1.5706467458180018
112,1.4983444724764143
113,1.5055300167628698
114,1.5857865299497331
115,1.5210764748709542
116,1.4893320287976946
117,1.552634562764849
118,1.5516377687454224
119,1.503723042351859
120,1.5613471269607544
121,1.5311847243990218
122,1.5233494213649206
123,1.523061990737915
124,1.4998283897127425
125,1.492325987134661
126,1.5586723600115096
127,1.5290025472640991
128,1.549494845526559
129,1.5139374392373222
130,1.5208406278065272
131,1.491010069847107
132,1.535103440284729
133,1.5044153417859758
134,1.5134886332920618
135,1.5027469566890173
136,1.5198952129908971
137,1.5182042803083147
138,1.4893478495734078
139,1.5315737894603185
140,1.5065123864582606
141,1.5128240585327148
142,1.4813182013375419
143,1.5021181787763322
144,1.5387097767421178
145,1.5201607601983207
146,1.5509890147617884
147,1.5316491978509086
148,1.537739362035479
149,1.495452642440796
150,1.5202206543513708
151,1.558268734386989
152,1.4720716987337386
153,1.5144480126244682
154,1.4937411206109183
155,1.4817705324717931
156,1.4967244182314192
157,1.5116184098379952
158,1.5367640256881714
159,1.5157886232648576
160,1.496747374534607
161,1.4891055992671423
162,1.4934860127312797
163,1.5154922008514404
164,1.5085758992603846
165,1.4869579928261893
166,1.513096809387207
167,1.4762324435370309
168,1.5201072011675154
169,1.4717458486557007
170,1.4901362146650041
171,1.4635211059025355
172,1.502345357622419
173,1.5171732902526855
174,1.4961897134780884
175,1.5000262941632951
176,1.499022466795785
177,1.5314573730741228
178,1.475795865058899
179,1.5156753744397844
180,1.4819177559443883
181,1.4648693459374564
182,1.4821722507476807
183,1.5004741294043404
184,1.491693445614406
185,1.4952563728604997
186,1.4873894623347692
187,1.4992646830422538
188,1.454122815813337
189,1.500757830483573
190,1.474777272769383
191,1.4932945285524641
192,1.4744436229978288
193,1.5156325612749373
194,1.4750242744173323
195,1.4490241663796561
196,1.483568821634565
197,1.4542874097824097
198,1.477812647819519
199,1.4482143095561437
200,1.5005515473229545
201,1.460841383252825
202,1.4823102610451835
203,1.5330713306154524
204,1.4646101338522775
205,1.4516458341053553
206,1.4620932340621948
207,1.4767894404275077
208,1.4644819327763148
209,1.4969466413770403
210,1.5021287202835083
211,1.4667011840002877
212,1.4271902867725916
213,1.4668826035090856
214,1.4968662091663905
215,1.4727365459714616
216,1.4685910429273332
217,1.4729810101645333
218,1.48578223160335
219,1.4522338594709123
220,1.4858314820698328
221,1.4248500892094202
222,1.49012519632067
223,1.485191992350987
224,1.4411547865186418
225,1.4337691238948278
226,1.5000236885888236
227,1.466454063143049
228,1.4973326069968087
229,1.480357561792646
230,1.4797644104276384
231,1.4692050048283167
232,1.4657009158815657
233,1.4868090833936418
234,1.4584402016230993
235,1.4527517557144165
236,1.4580981050218855
237,1.472382630620684
238,1.4269082716533117
239,1.4400900942938668
240,1.4854443754468645
241,1.4726436308452062
242,1.445054292678833
243,1.494730063847133
244,1.4523651259286063
245,1.442349808556693
246,1.4483848469597953
247,1.4499890123094832
248,1.4462840216500419
249,1.4961461509977068
250,1.4290187188557215
